,Color,Block size,Num. coeffs,Distance measure,Feature vec. dim.,MAP@1,MAP@5
279,V,128,4,Pearson,16.0,0.9,0.9333333333333333
280,V,64,64,L1,1024.0,0.9333333333333333,0.9416666666666667
281,V,64,64,L2,1024.0,0.8333333333333334,0.85
282,V,64,64,Cosine,1024.0,1.0,1.0
283,V,64,64,Pearson,1024.0,1.0,1.0
284,V,64,32,L1,512.0,0.9333333333333333,0.9416666666666667
285,V,64,32,L2,512.0,0.8666666666666667,0.8666666666666667
286,V,64,32,Cosine,512.0,0.9666666666666667,0.9833333333333333
287,V,64,32,Pearson,512.0,0.9666666666666667,0.9833333333333333
288,V,64,16,L1,256.0,0.9333333333333333,0.9416666666666667
289,V,64,16,L2,256.0,0.8666666666666667,0.8666666666666667
290,V,64,16,Cosine,256.0,0.9666666666666667,0.975
291,V,64,16,Pearson,256.0,0.9666666666666667,0.975
292,V,64,8,L1,128.0,0.8666666666666667,0.8983333333333333
293,V,64,8,L2,128.0,0.7666666666666667,0.8055555555555556
294,V,64,8,Cosine,128.0,0.9666666666666667,0.9666666666666667
295,V,64,8,Pearson,128.0,0.9666666666666667,0.9666666666666667
296,V,64,4,L1,64.0,0.7666666666666667,0.8
297,V,64,4,L2,64.0,0.7,0.75
298,V,64,4,Cosine,64.0,0.9333333333333333,0.95
299,V,64,4,Pearson,64.0,0.9333333333333333,0.95
300,V,32,64,L1,4096.0,0.8333333333333334,0.8583333333333333
301,V,32,64,L2,4096.0,0.8333333333333334,0.8483333333333333
302,V,32,64,Cosine,4096.0,0.9666666666666667,0.9733333333333333
303,V,32,64,Pearson,4096.0,0.9666666666666667,0.9733333333333333
304,V,32,32,L1,2048.0,0.8666666666666667,0.8816666666666666
305,V,32,32,L2,2048.0,0.8333333333333334,0.855
306,V,32,32,Cosine,2048.0,1.0,1.0
307,V,32,32,Pearson,2048.0,1.0,1.0
308,V,32,16,L1,1024.0,0.9333333333333333,0.9416666666666667
309,V,32,16,L2,1024.0,0.8666666666666667,0.8666666666666667
310,V,32,16,Cosine,1024.0,1.0,1.0
311,V,32,16,Pearson,1024.0,1.0,1.0
312,V,32,8,L1,512.0,0.8666666666666667,0.9083333333333333
313,V,32,8,L2,512.0,0.8666666666666667,0.8666666666666667
314,V,32,8,Cosine,512.0,0.9666666666666667,0.975
315,V,32,8,Pearson,512.0,0.9666666666666667,0.975
316,V,32,4,L1,256.0,0.8333333333333334,0.851111111111111
317,V,32,4,L2,256.0,0.8333333333333334,0.85
318,V,32,4,Cosine,256.0,0.9666666666666667,0.975
319,V,32,4,Pearson,256.0,0.9666666666666667,0.975
320,V,16,64,L1,16384.0,0.6666666666666666,0.73
321,V,16,64,L2,16384.0,0.8333333333333334,0.8416666666666667
322,V,16,64,Cosine,16384.0,0.9333333333333333,0.95
323,V,16,64,Pearson,16384.0,0.9333333333333333,0.95
324,V,16,32,L1,8192.0,0.7666666666666667,0.8083333333333333
325,V,16,32,L2,8192.0,0.8333333333333334,0.8416666666666667
326,V,16,32,Cosine,8192.0,0.9666666666666667,0.9666666666666667
327,V,16,32,Pearson,8192.0,0.9666666666666667,0.9666666666666667
328,V,16,16,L1,4096.0,0.8333333333333334,0.8527777777777779
329,V,16,16,L2,4096.0,0.8333333333333334,0.8483333333333333
330,V,16,16,Cosine,4096.0,0.9666666666666667,0.975
331,V,16,16,Pearson,4096.0,0.9666666666666667,0.975
332,V,16,8,L1,2048.0,0.8333333333333334,0.8527777777777779
333,V,16,8,L2,2048.0,0.8333333333333334,0.85
334,V,16,8,Cosine,2048.0,1.0,1.0
335,V,16,8,Pearson,2048.0,1.0,1.0
336,V,16,4,L1,1024.0,0.8333333333333334,0.8416666666666667
337,V,16,4,L2,1024.0,0.8333333333333334,0.8416666666666667
338,V,16,4,Cosine,1024.0,1.0,1.0
339,V,16,4,Pearson,1024.0,1.0,1.0
340,V,8,64,L1,65536.0,0.3333333333333333,0.3861111111111111
341,V,8,64,L2,65536.0,0.8,0.825
342,V,8,64,Cosine,65536.0,0.9,0.9083333333333333
343,V,8,64,Pearson,65536.0,0.9,0.9083333333333333
344,V,8,32,L1,32768.0,0.5333333333333333,0.6455555555555555
345,V,8,32,L2,32768.0,0.8333333333333334,0.8416666666666667
346,V,8,32,Cosine,32768.0,0.9333333333333333,0.9416666666666667
347,V,8,32,Pearson,32768.0,0.9333333333333333,0.9416666666666667
348,V,8,16,L1,16384.0,0.8,0.825
349,V,8,16,L2,16384.0,0.8333333333333334,0.8416666666666667
350,V,8,16,Cosine,16384.0,0.9333333333333333,0.95
351,V,8,16,Pearson,16384.0,0.9333333333333333,0.95
352,V,8,8,L1,8192.0,0.8333333333333334,0.8416666666666667
353,V,8,8,L2,8192.0,0.8333333333333334,0.8416666666666667
354,V,8,8,Cosine,8192.0,0.9666666666666667,0.9666666666666667
355,V,8,8,Pearson,8192.0,0.9666666666666667,0.9666666666666667
356,V,8,4,L1,4096.0,0.8333333333333334,0.8416666666666667
357,V,8,4,L2,4096.0,0.8333333333333334,0.8416666666666667
358,V,8,4,Cosine,4096.0,0.9666666666666667,0.9833333333333333
359,V,8,4,Pearson,4096.0,0.9666666666666667,0.9833333333333333
